mol_id,name,formal_charge,n_atoms,source_index,paff,smiles,smina_affinity_kcal_mol,smina_score,aimnet_interaction_kcal_mol,input_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,initial_interaction_ligand_ev,interaction_geometry,complex_bound_ev,pocket_ev,complex_initial_ev,complex_minimization_steps,complex_final_max_force_ev_a,complex_optimization_converged,gas_bound_ev,interaction_ligand_ev,interaction_model,desolvation_gas_model,cpcm_bound_ev,cpcm_local_min_ev,desolvation_kcal_mol,local_strain_kcal_mol,aimnet2_composite_kcal_mol,optimization_steps,bound_refinement_steps,restrained_rotatable_torsions,final_max_force_ev_a,optimization_converged,error,aimnet_interaction_rank,aimnet2_score_rank,benchmark,rank
107700,L1:P50053:107700,0,57,7,8.1308,CN[C@H]1CCN(c2cc(C(F)(F)F)c(C#N)c(Nc3cc(CCC(=O)O)ccc3SC)n2)C1,-8.00273,8.00273,-150.0871239208959,-6.6796287851005625,-64.13186530592893,-53713.46937551434,fixed_pocket_aimnet2025_minimized_v2,-378625.4191177081,-324904.1855228435,-378620.4359192502,716,0.0017923391424119,True,-53766.35268202135,-53714.72520117755,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-53766.93438873738,-53767.9179426228,13.414475548603953,22.681291418644538,-113.9913569536474,651,0,12,0.0019759042188525,True,,3.0,1.0,t3/L1/P50053,1
132156,L1:P50053:132156,0,45,8,8.0,CSc1ccccc1Nc1nc(N2CC[C@H](N)C2)cc(C(F)(F)F)c1C#N,-7.85176,7.85176,-181.19269323810792,4.439551862679379,-55.99650879579568,-45377.21416166007,fixed_pocket_aimnet2025_minimized_v2,-370288.1943705997,-324904.1855228435,-370283.82792294817,1000,0.0535895675420761,False,-45418.40201406167,-45376.151588918765,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-45419.07776216652,-45421.47173129854,15.583121493298044,55.206239673955714,-110.40333207085416,563,0,7,0.0018872556975111,True,,2.0,2.0,t3/L1/P50053,2
54615,L1:P50053:54615,0,59,3,8.4949,CSc1ccc(CCC(N)=O)cc1Nc1nc(N2C[C@H](N)C[C@H]2CO)cc(C(F)(F)F)c1C#N,-8.00036,8.00036,-267.28168511948206,5.972740698638221,-75.4038835680439,-55219.06682118768,fixed_pocket_aimnet2025_minimized_v2,-380131.0840537295,-324904.1855228435,-380126.52216589847,924,0.0011534381192177,True,-55268.10663275041,-55215.30810003054,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-55269.94377320049,-55275.744146808735,42.3654652206223,133.75979302842728,-91.15642687043248,779,0,13,0.0018834823276847,True,,1.0,3.0,t3/L1/P50053,3
19531,L1:P50053:19531,0,63,1,7.5686,CSc1ccc(CC(C)C(=O)O)cc1Nc1nc(N2CC[C@H](N(C)C)C2)cc(C(F)(F)F)c1C#N,-7.83103,7.83103,-111.99996284271968,10.265071626276743,-68.49459278851799,-55851.38698906957,fixed_pocket_aimnet2025_minimized_v2,-380761.8153551061,-324904.1855228435,-380758.5427185748,802,0.0016167692374438,True,-55906.69672389373,-55852.77305419885,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-55907.34089114204,-55908.6785563865,14.8548496406273,30.84729335115108,-66.29781985094131,856,0,14,0.001845306251198,True,,4.0,4.0,t3/L1/P50053,4
24618,L1:P50053:24618,0,48,2,7.8125,C[C@H]1CCN1c1nc(N2CC[C@@H](CCC(=O)O)C2)cc(C(F)(F)F)c1C#N,-8.64478,8.64478,-90.23748791284508,8.400428979112723,-56.65453137240994,-37195.14625991654,fixed_pocket_aimnet2025_minimized_v2,-362104.6592922078,-324904.1855228435,-362101.7885557642,838,0.0019817696884274,True,-37238.1530202078,-37196.560701531926,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37238.7385940623,-37239.20394908729,13.503653880049598,10.731341812074286,-66.0024922207212,600,0,8,0.0017778053879737,True,,7.0,5.0,t3/L1/P50053,5
139579,L1:P50053:139579,0,45,9,7.699,CSc1ccccc1Nc1nc(N2C[C@H](O)[C@@H](O)C2)cc(C(F)(F)F)c1C#N,-7.83946,7.83946,-107.96465257442092,-2.1194906271239446,-78.84062173424729,-47963.3133446671,fixed_pocket_aimnet2025_minimized_v2,-372872.6820414921,-324904.1855228435,-372870.91772045,815,0.0016727383481338,True,-48008.841412631926,-47963.81472819991,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-48009.46654322493,-48010.75471632093,14.415853940385432,29.70597729425238,-63.8428213397831,670,0,8,0.0012784220743924,True,,5.0,6.0,t3/L1/P50053,6
167,L1:P50053:167,0,45,0,8.2596,CSc1ccccc1Nc1nc(N2CC[C@@H](N)C2)cc(C(F)(F)F)c1C#N,-7.65168,7.65168,-100.65225122597684,25.91785370673877,-67.45463807345213,-45377.15004902227,fixed_pocket_aimnet2025_minimized_v2,-370286.1785264629,-324904.1855228435,-370284.2606818228,844,0.0017066526925191,True,-45419.86298225806,-45377.62830890509,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-45420.308360727046,-45421.49355162723,10.270671486712828,27.331151442136623,-63.05042829712739,625,0,7,0.0009090328821912,True,,6.0,7.0,t3/L1/P50053,7
97821,L1:P50053:97821,0,36,6,7.7447,CNc1cc(C(F)(F)F)c(C#N)c(Nc2ccccc2SC)n1,-6.79042,6.79042,-81.20124004781768,3.005178691536047,-36.61513387442855,-40696.65184260933,fixed_pocket_aimnet2025_minimized_v2,-365605.6432419978,-324904.1855228435,-365602.425147935,1000,0.0425784103572368,False,-40734.59782115639,-40697.93650011631,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-40735.12011073981,-40735.53820920211,12.044283919795069,9.641579587816928,-59.515376540205686,526,0,7,0.0019784080795943,True,,9.0,8.0,t3/L1/P50053,8
64410,L1:P50053:64410,0,46,4,9.3565,[2H]c1c(N2C[C@@H]3[C@H](C2)[C@H]3C([2H])([2H])C(=O)O)nc(N2CC[C@@H]2C)c(C#N)c1C(F)(F)F,-8.23352,8.23352,-79.55832907169271,19.628508733296165,-54.8309789444009,-37160.40675446837,fixed_pocket_aimnet2025_minimized_v2,-362070.6294553061,-324904.1855228435,-362066.9699735985,628,0.0019477559253573,True,-37204.74406231715,-37162.99395678737,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-37205.25932100467,-37205.659076701726,11.8821476086793,9.21858537254808,-58.45759609046533,702,0,7,0.0017760931514203,True,,10.0,9.0,t3/L1/P50053,9
75542,L1:P50053:75542,0,49,5,7.8996,CC(C(=O)O)[C@H]1[C@@H]2CN(c3cc(C(F)(F)F)c(C#N)c(N4CC[C@@H]4C)n3)C[C@@H]21,-8.2142,8.2142,-82.15733656935929,18.37124741209304,-35.74435752714785,-38229.79287596115,fixed_pocket_aimnet2025_minimized_v2,-363139.8465218321,-324904.1855228435,-363135.5284208505,716,0.0016974745085462,True,-38275.03833401891,-38232.09831968138,aimnet2-2025,/home/xianyang/t3-aimnet-models/aimnet2_wb97m_0.jpt,-38275.62039506939,-38276.1392169304,13.422646694970595,11.964316341457332,-56.77037353293136,538,0,8,0.0018693162128329,True,,8.0,10.0,t3/L1/P50053,10
